Foods,Land Use (m2),GHG Emissions (kg CO2eq),Eutrophication (g PO43-eq),Water Use (L)
Beer,0.8,1.2,2.2,10
Wine,2.1,1.9,5.5,18
Tomatoes,0.1,1.1,1.3,55
Onions,0.2,0.5,2,51
Root Vegetables,0.3,0.4,1.4,19
Cabbages and Other Brassicas,0.5,0.8,2.1,166
Other Vegetables,0.9,0.8,1.7,159
Citrus Fruit,0.4,0.5,1.6,177
Bananas,0,0,0,0
Apples,0.5,0.4,0.5,89
Berries and Grapes,0.6,1.3,7.3,118
Other Fruit,0.4,0.6,3.5,261
Avocado,0,0,0,0
Soymilk,0.5,0.9,4.2,1
Milk,2.2,2.2,9.2,248
Almond milk,0,0,0,0
Oat milk,0.4,0.6,1.4,3.4
Rice milk,0.3,0.9,1.1,586.1
Soybeans (Oil),7.9,4.5,60.1,2
Palm (Oil),0,0,0,0
Sunflower (Oil),17.6,3.5,36,729
Rapeseed (Oil),6.3,3.5,21.1,27
Olives (Oil),26.6,5.3,31.6,2123
Beans & Pulses,3.5,1.1,5.2,526
Peas,6.4,1.1,8.4,425
Nuts,12.8,2.4,15.7,673
Groundnuts,0,0,0,0
Tofu,2.7,2.5,22.7,6
Bovine Meat (Beef Herd),71.6,46.2,141.4,810
Bovine Meat (Dairy Herd),32.2,37.5,135.8,1377
Beef,40.3,39.3,137,1260
Mutton & Goat Meat,142.7,43,105.1,1006
Pig Meat,16.6,10.3,59.4,2361
Poultry Meat,12.8,8.7,38.2,1507
Cheese,18.3,15.9,90.2,2153
Eggs,6.1,5.1,15.8,642
Fish (farmed),18.2,13.5,76.9,3547
Crustaceans (farmed),0,0,0,0
Bread,3.1,1.5,7.5,12
Maize Meal,2.4,1.5,5,37
Oatmeal,4.1,1.7,10,34
Rice,2.8,3.4,8,4885
Potatoes,1.1,0.5,2.4,8
Cassava and Other Roots,0,0,0,0
Coffee,0,0,0,0
Tea,0,0,0,0
Chocolate,0,0,0,0
Sugar (from sugar cane),0,0,0,0
Sugar (from sugar beet),1.4,1.7,4,15
